k	L	method	density	density_std	runtime	runtime_std		
11	170	random	0.012409	0.000122369	0.0342	0.0006	0	0
11	170	decycling	0.0121232	3.20076E-05	0.151	0.00109545	0	0
11	170	double	0.0121183	1.97292E-05	0.1788	0.00166132	0	0
11	170	decycling_set	0.0121236	2.25345E-05	0.0625	0.00111803	0	0
11	170	pasha	0.0121654	3.09737E-05	0.0644	0.000489898	0	0
11	170	docks	0.0121542	2.82278E-05	0.0617	0.000640312	0	0
11	180	random	0.0117686	0.000319544	0.0344	0.000916515	0	0
11	180	decycling	0.0114231	2.65178E-05	0.153	0.00404969	0	0
11	180	double	0.0114535	4.33334E-05	0.1785	0.0015	0	0
11	180	decycling_set	0.0114368	2.01993E-05	0.0631	0.000538516	0	0
11	180	pasha	0.0114793	0.00005484	0.0648	0.00474974	0	0
11	180	docks	0.0114745	5.26192E-05	0.0641	0.0003	0	0
11	190	random	0.0110566	0.000118391	0.0348	0.00208806	0	0
11	190	decycling	0.0108245	2.70952E-05	0.1517	0.00118743	0	0
11	190	double	0.0108107	2.57095E-05	0.1791	0.00175784	0	0
11	190	decycling_set	0.0108142	2.05524E-05	0.0625	0.00486313	0	0
11	190	pasha	0.0108497	3.77076E-05	0.0628	0.000748331	0	0
11	190	docks	0.0108482	3.48619E-05	0.0611	0.0003	0	0
11	200	random	0.0104866	8.83163E-05	0.034	6.93889E-18	0	0
11	200	decycling	0.0102626	4.10265E-05	0.1508	0.00116619	0	0
11	200	double	0.0102523	2.06744E-05	0.189	0.0132136	0	0
11	200	decycling_set	0.0102615	1.81956E-05	0.0607	0.000458258	0	0
11	200	pasha	0.0102785	2.96851E-05	0.0621	0.000943398	0	0
11	200	docks	0.0102771	3.61059E-05	0.0606	0.000489898	0	0
11	15	random	0.328575	0.0154705	0.0568	0.00485386	0	0
11	15	decycling	0.331977	0.015379	0.1722	0.00874986	0	0
11	15	double	0.307228	0.00159324	0.193	0.0109818	0	0
11	15	decycling_set	0.331262	0.0147522	0.0833	0.0076948	0	0
11	15	pasha	0.333103	0.0179052	0.0748	0.00561783	0	0
11	15	docks	0.331035	0.0137231	0.0747	0.00440568	0	0
20	30	random	0.166986	0.00707739	0.0478	0.00198997	0	0
20	30	decycling	0.166376	0.010884	0.2308	0.00218174	0	0
20	30	double	0.145501	0.000463897	0.2988	0.0076	0	0
20	40	random	0.0922873	0.00426932	0.0415	0.00120416	0	0
20	40	decycling	0.0785734	0.000770436	0.2225	0.00180278	0	0
20	40	double	0.0717056	4.57997E-05	0.2896	0.00210713	0	0
20	50	random	0.0633307	0.0030043	0.0379	0.00104403	0	0
20	50	decycling	0.0513848	0.000166017	0.2376	0.01102	0	0
20	50	double	0.050222	0.000147142	0.2875	0.0010247	0	0
20	60	random	0.0477137	0.00173416	0.0371	0.0007	0	0
