k	L	method	density	density_std	runtime	runtime_std	maxbin	maxbin_std
11	150	decycling	0.0137791	2.23115E-05	0.2813	0.0022383	1079.8	85.1972
11	150	double	0.0137837	1.75589E-05	0.3384	0.000663325	1147.1	105.777
11	150	decycling_set	0.0137832	3.46257E-05	0.1552	0.0328201	1215.5	186.874
11	150	pasha	0.0138163	2.88232E-05	0.1525	0.03273	1126.3	86.4894
11	150	docks	0.0138242	2.41858E-05	0.1732	0.0319962	1149.6	101.882
11	160	random	0.0131565	0.00010204	0.0649	0.000830662	1277.3	85.598
11	160	decycling	0.0128804	1.95679E-05	0.2815	0.00374833	1210.2	89.167
11	160	double	0.0128832	2.16003E-05	0.3384	0.00200998	1136.4	85.6121
11	160	decycling_set	0.012888	0.000033492	0.1453	0.0332266	1201.9	99.0792
11	160	pasha	0.0129404	4.16961E-05	0.1545	0.0324292	1204.3	117.208
11	160	docks	0.0129274	2.53813E-05	0.1603	0.0365378	1198.9	151.819
11	170	random	0.012329	9.23342E-05	0.0647	0.000458258	1342.9	124.37
11	170	decycling	0.0121107	2.14404E-05	0.2813	0.00241039	1261.4	98.4482
11	170	double	0.0120997	2.28868E-05	0.3388	0.00166132	1232.7	102.486
11	170	decycling_set	0.0121032	2.41125E-05	0.1629	0.0381561	1368.6	211.822
11	170	pasha	0.0121381	3.12461E-05	0.164	0.0365486	1262.8	121.689
11	170	docks	0.0121183	2.43786E-05	0.1673	0.0365706	1235.3	92.4598
11	180	random	0.0115543	4.26651E-05	0.0648	0.0006	1431.7	115.423
11	180	decycling	0.0114085	1.52919E-05	0.2798	0.0004	1330.6	130.642
11	180	double	0.0114182	2.04239E-05	0.3382	0.0004	1353.5	107.065
11	180	decycling_set	0.0114156	3.34013E-05	0.1549	0.0331314	1321.6	141.398
11	180	pasha	0.0114355	3.44296E-05	0.1553	0.0381734	1333.4	122.754
11	180	docks	0.0114266	2.12695E-05	0.1591	0.0367408	1338	138.428
11	190	random	0.0109763	0.000118213	0.0648	0.000979796	1496.8	153.247
11	190	decycling	0.0107923	2.98656E-05	0.2816	0.00128062	1377	119.807
11	190	double	0.010794	1.59871E-05	0.3379	0.000830662	1415.1	165.684
11	190	decycling_set	0.0108109	2.42121E-05	0.1654	0.0390927	1428.2	95.0124
11	190	pasha	0.010832	3.08261E-05	0.1416	0.0337408	1392.6	104.458
11	190	docks	0.0108084	1.82456E-05	0.1332	0.0253645	1387.2	102.437
11	200	random	0.0105401	0.000457136	0.0649	0.00144568	1535.7	133.577
11	200	decycling	0.0102452	1.86817E-05	0.2832	0.00898666	1454.6	106.088
11	200	double	0.0102556	0.000024595	0.3377	0.000458258	1437.5	153.015
11	200	decycling_set	0.0102492	2.20386E-05	0.1859	0.0411982	1418.2	69.8052
11	200	pasha	0.0102777	3.72847E-05	0.1424	0.0373476	1447.2	111.303
11	200	docks	0.0102529	2.54233E-05	0.1868	0.0403827	1488	99.2965
11	15	random	0.335165	0.0144296	0.1151	0.0105778	58.3	3.9
11	15	decycling	0.326807	0.0131941	0.3256	0.0118169	57.6	3.44093
11	15	double	0.305984	0.00167139	0.3787	0.0100603	57	5.86515
11	15	decycling_set	0.33174	0.0135633	0.184	0.0154143	56.5	2.80179
20	30	random	0.168893	0.00814409	0.0981	0.00700643	19.9	2.87924
20	30	decycling	0.164263	0.00897174	0.4347	0.00571052	19.9	3.98623
20	30	double	0.145098	0.00061296	0.558	0.00581378	20.8	2.18174
20	40	random	0.0878219	0.00223638	0.0779	0.00246779	34.4	9.17824
20	40	decycling	0.0786512	0.00116958	0.4143	0.00214709	27.5	9.51052
20	40	double	0.0716502	4.66579E-05	0.5534	0.0306829	31.2	6.50846
20	50	random	0.0629237	0.00335135	0.0747	0.00334813	49.2	11.1068
20	50	decycling	0.0513409	0.000161427	0.4115	0.00405586	45.8	11.6944
20	50	double	0.05035	0.000135096	0.5415	0.00287228	42.3	10.9823
20	60	random	0.047696	0.00200252	0.0734	0.0032	57.2	17.9432
20	60	decycling	0.0400745	5.34673E-05	0.4093	0.0011	56.9	17.3058
20	60	double	0.0399906	0.000063075	0.5409	0.00266271	50.7	16.1062
20	70	random	0.0392603	0.00219988	0.0719	0.00250799	70.2	21.4327
20	70	decycling	0.0333735	2.25734E-05	0.4083	0.00118743	71.7	23.5671
20	70	double	0.0333763	2.84644E-05	0.5399	0.000943398	71.2	19.5643
20	80	random	0.0325075	0.00102838	0.0694	0.00142829	74.5	19.5256
20	80	decycling	0.0286049	0.000020551	0.4086	0.00233238	84	27.4372
20	80	double	0.0286066	3.36359E-05	0.549	0.0303513	76.5	19.638
20	90	random	0.0274059	0.000231174	0.0686	0.00287054	83.7	24.2448
20	90	decycling	0.0250169	1.72708E-05	0.4085	0.00364005	81.2	20.4441
20	90	double	0.0250123	3.92213E-05	0.5385	0.00111803	79.3	21.204
20	100	random	0.0242346	0.000693721	0.0671	0.000943398	98.5	27.5654
20	100	decycling	0.0222463	0.000021986	0.4184	0.0306764	113.8	34.3826
20	100	double	0.0222257	1.42582E-05	0.5381	0.00113578	83.5	7.5
20	110	random	0.0219785	0.00105687	0.0674	0.00195959	107.2	28.0742
20	110	decycling	0.0199967	1.62501E-05	0.4071	0.00207123	91	0
20	110	double	0.0200008	1.93335E-05	0.5389	0.00326956	114.5	36.5055
20	120	random	0.0194177	0.0001868	0.0665	0.000806226	109.8	22.6839
20	120	decycling	0.0181859	2.08535E-05	0.4074	0.00313688	121.2	40.4
20	120	double	0.0181753	2.20041E-05	0.5368	0.0006	115.6	31.7717
20	130	random	0.0176684	0.000209712	0.066	0.000774597	134.7	40.699
20	130	decycling	0.0166695	2.45666E-05	0.4065	0.00201246	115.9	14.7
20	130	double	0.0166722	2.15287E-05	0.5387	0.0062458	113.4	7.2
20	140	random	0.0162444	0.000200264	0.0655	0.00067082	156	53.5686
20	140	decycling	0.0153875	2.35259E-05	0.4065	0.00220227	138.5	36.9926
20	140	double	0.015393	1.65834E-05	0.5386	0.00684398	133.1	36.3
20	150	random	0.0151095	0.000278616	0.0652	0.0006	133.3	5.69298
20	150	decycling	0.0142975	2.24346E-05	0.4068	0.00218174	141.1	30.3
20	150	double	0.0142864	2.10729E-05	0.5374	0.00210713	138.4	22.2
20	160	random	0.0141082	0.000415233	0.0654	0.000916515	147.2	12.687
20	160	decycling	0.0133273	0.000015213	0.4064	0.00168523	141	0
20	160	double	0.0133385	1.89351E-05	0.5368	0.0018868	178.2	54.0607
20	170	random	0.0133361	0.000648075	0.0661	0.00151327	180.9	46.8518
20	170	decycling	0.0124983	1.80535E-05	0.4079	0.00816639	151	0
20	170	double	0.0124893	1.49098E-05	0.5359	0.00122066	177.5	47.3017
20	180	random	0.0123925	0.00029733	0.0654	0.000916515	181.2	42.9251
20	180	decycling	0.0117644	1.70604E-05	0.406	0.00228035	171.1	20.2309
