k	L	method	density	density_std	runtime	runtime_std		
50	90	random	0.0476389	0	1.185	0	0	0
50	90	decycling	0.0469192	0	15.021	0	0	0
50	90	double	0.0391767	0	19.249	0	0	0
50	100	random	0.0426097	0	1.219	0	0	0
50	100	decycling	0.0334796	0	14.926	0	0	0
50	100	double	0.0301938	0	19.212	0	0	0
50	110	random	0.033032	0	1.124	0	0	0
50	110	decycling	0.0269809	0	15.082	0	0	0
50	110	double	0.0252451	0	19.216	0	0	0
50	120	random	0.0279395	0	1.208	0	0	0
50	120	decycling	0.0228194	0	15.069	0	0	0
50	120	double	0.0219423	0	19.208	0	0	0
50	130	random	0.024289	0	1.084	0	0	0
50	130	decycling	0.0199494	0	14.876	0	0	0
50	130	double	0.019606	0	19.21	0	0	0
50	140	random	0.021297	0	1.258	0	0	0
50	140	decycling	0.0178977	0	14.855	0	0	0
50	140	double	0.0178016	0	19.207	0	0	0
50	150	random	0.0195349	0	1.065	0	0	0
50	150	decycling	0.0163235	0	14.871	0	0	0
50	150	double	0.0162383	0	19.201	0	0	0
50	160	random	0.0177153	0	1.056	0	0	0
50	160	decycling	0.0150459	0	14.868	0	0	0
50	160	double	0.0150249	0	19.206	0	0	0
50	170	random	0.0166674	0	1.115	0	0	0
50	170	decycling	0.0140146	0	14.89	0	0	0
50	170	double	0.0139877	0	19.214	0	0	0
50	180	random	0.0150991	0	1.107	0	0	0
50	180	decycling	0.0131171	0	14.87	0	0	0
50	180	double	0.01309	0	19.21	0	0	0
50	190	random	0.0142366	0	1.052	0	0	0
50	190	decycling	0.0122928	0	14.869	0	0	0
50	190	double	0.0122867	0	19.208	0	0	0
50	200	random	0.0137244	0	1.059	0	0	0
50	200	decycling	0.011595	0	15.058	0	0	0
50	200	double	0.0115958	0	19.207	0	0	0
50	210	random	0.0131683	0	1.064	0	0	0
50	210	decycling	0.0109868	0	15.11	0	0	0
50	210	double	0.0109527	0	19.209	0	0	0
50	220	random	0.011625	0	1.037	0	0	0
50	220	decycling	0.0103932	0	14.862	0	0	0
50	220	double	0.0103809	0	19.199	0	0	0
50	230	random	0.0111476	0	1.269	0	0	0
50	230	decycling	0.00982968	0	14.867	0	0	0
50	230	double	0.00984474	0	19.32	0	0	0
50	240	random	0.0105674	0	1.037	0	0	0
50	240	decycling	0.00939881	0	15.053	0	0	0
50	240	double	0.00938492	0	19.395	0	0	0
50	250	random	0.0101369	0	1.039	0	0	0
50	250	decycling	0.00898373	0	14.865	0	0	0
50	250	double	0.00897325	0	19.201	0	0	0
50	260	random	0.00961072	0	1.033	0	0	0
50	260	decycling	0.00861497	0	14.863	0	0	0
50	260	double	0.00859471	0	19.199	0	0	0
50	270	random	0.00928038	0	1.053	0	0	0
50	270	decycling	0.00824184	0	14.861	0	0	0
50	270	double	0.00825131	0	19.199	0	0	0
50	280	random	0.00856207	0	1.021	0	0	0
50	280	decycling	0.00791072	0	14.862	0	0	0
50	280	double	0.00792027	0	19.198	0	0	0
50	290	random	0.00910778	0	1.056	0	0	0
50	290	decycling	0.00761131	0	14.874	0	0	0
50	290	double	0.00761747	0	19.199	0	0	0
50	300	random	0.00807189	0	1.027	0	0	0
50	300	decycling	0.00734211	0	14.923	0	0	0
50	300	double	0.00734012	0	19.196	0	0	0
50	310	random	0.0078501	0	1.031	0	0	0
50	310	decycling	0.00708694	0	15.047	0	0	0
50	310	double	0.00708409	0	19.193	0	0	0
50	320	random	0.00768724	0	1.035	0	0	0
50	320	decycling	0.00683657	0	14.911	0	0	0
50	320	double	0.00685055	0	19.193	0	0	0
50	330	random	0.00752196	0	1.057	0	0	0
50	330	decycling	0.00663237	0	15.049	0	0	0
50	330	double	0.00661995	0	19.192	0	0	0
50	340	random	0.00685853	0	1.02	0	0	0
50	340	decycling	0.00643318	0	14.862	0	0	0
50	340	double	0.00641297	0	19.193	0	0	0
50	350	random	0.00704276	0	1.038	0	0	0
50	350	decycling	0.00620134	0	14.858	0	0	0
50	350	double	0.00621512	0	19.245	0	0	0
20	30	random	0.172777	0	1.641	0	0	0
20	30	decycling	0.164625	0	7.045	0	0	0
20	30	double	0.147377	0	8.78	0	0	0
20	40	random	0.0920737	0	1.28	0	0	0
20	40	decycling	0.0792514	0	6.467	0	0	0
20	40	double	0.072404	0	8.453	0	0	0
20	50	random	0.0625482	0	1.202	0	0	0
20	50	decycling	0.0516451	0	6.399	0	0	0
20	50	double	0.0507066	0	8.407	0	0	0
20	60	random	0.0522868	0	1.223	0	0	0
20	60	decycling	0.0403383	0	6.381	0	0	0
20	60	double	0.0400067	0	8.399	0	0	0
20	70	random	0.0402163	0	1.155	0	0	0
20	70	decycling	0.0334871	0	6.356	0	0	0
20	70	double	0.0334785	0	8.372	0	0	0
20	80	random	0.0320468	0	1.113	0	0	0
20	80	decycling	0.0288597	0	6.424	0	0	0
20	80	double	0.0288139	0	8.365	0	0	0
20	90	random	0.0280697	0	1.104	0	0	0
20	90	decycling	0.025187	0	6.515	0	0	0
20	90	double	0.0252038	0	8.652	0	0	0
20	100	random	0.0246831	0	1.09	0	0	0
20	100	decycling	0.0223335	0	6.416	0	0	0
20	100	double	0.0223159	0	8.351	0	0	0
20	110	random	0.022042	0	1.084	0	0	0
20	110	decycling	0.0201401	0	6.318	0	0	0
20	110	double	0.0201444	0	8.344	0	0	0
20	120	random	0.0192265	0	1.062	0	0	0
20	120	decycling	0.0182648	0	6.317	0	0	0
20	120	double	0.0182951	0	8.339	0	0	0
20	130	random	0.0185297	0	1.07	0	0	0
20	130	decycling	0.0167167	0	6.372	0	0	0
20	130	double	0.0168723	0	8.525	0	0	0
20	140	random	0.0169517	0	1.064	0	0	0
20	140	decycling	0.0155617	0	6.328	0	0	0
20	140	double	0.0155414	0	8.333	0	0	0
20	150	random	0.0157685	0	1.065	0	0	0
20	150	decycling	0.0144007	0	6.317	0	0	0
20	150	double	0.0144915	0	8.326	0	0	0
20	160	random	0.0141421	0	1.052	0	0	0
20	160	decycling	0.0134119	0	6.297	0	0	0
20	160	double	0.0134087	0	8.425	0	0	0
20	170	random	0.0134031	0	1.05	0	0	0
20	170	decycling	0.0126012	0	6.311	0	0	0
20	170	double	0.0125472	0	8.325	0	0	0
20	180	random	0.0141745	0	1.105	0	0	0
20	180	decycling	0.0119116	0	6.493	0	0	0
20	180	double	0.0118925	0	8.326	0	0	0
20	190	random	0.011682	0	1.045	0	0	0
20	190	decycling	0.0111372	0	6.311	0	0	0
20	190	double	0.0112242	0	8.325	0	0	0
20	200	random	0.0110833	0	1.042	0	0	0
20	200	decycling	0.0106234	0	6.327	0	0	0
