k	L	method	density	density_std	runtime	runtime_std		
11	170	random	0.0123678	8.31756E-05	0.0312	0.0004	0	0
11	170	decycling	0.0121101	3.11629E-05	0.1385	0.00120416	0	0
11	170	double	0.0121083	1.55397E-05	0.1653	0.00161555	0	0
11	170	decycling_set	0.0121081	3.06569E-05	0.0595	0.000806226	0	0
11	170	pasha	0.0121858	5.29139E-05	0.0581	0.0003	0	0
11	170	docks	0.0121261	2.31258E-05	0.058	6.93889E-18	0	0
11	180	random	0.0118786	0.000610408	0.0314	0.000916515	0	0
11	180	decycling	0.0114282	3.18248E-05	0.1382	0.0006	0	0
11	180	double	0.0114171	2.59997E-05	0.1636	0.00162481	0	0
11	180	decycling_set	0.011437	0.000023569	0.0587	0.000640312	0	0
11	180	pasha	0.0114726	0.000069053	0.0581	0.0003	0	0
11	180	docks	0.0114609	2.25024E-05	0.0582	0.0004	0	0
11	190	random	0.0110274	0.000096159	0.0311	0.0003	0	0
11	190	decycling	0.0108238	2.83018E-05	0.1398	0.000979796	0	0
11	190	double	0.0108027	3.26797E-05	0.1635	0.0015	0	0
11	190	decycling_set	0.0108037	3.08214E-05	0.058	6.93889E-18	0	0
11	190	pasha	0.010839	3.38584E-05	0.0596	0.000489898	0	0
11	190	docks	0.0108177	1.90694E-05	0.0574	0.000916515	0	0
11	200	random	0.0105149	0.000149001	0.0311	0.0003	0	0
11	200	decycling	0.0102639	0.00003971	0.1386	0.0012	0	0
11	200	double	0.010247	2.07387E-05	0.1634	0.0012	0	0
11	200	decycling_set	0.0102423	2.55336E-05	0.0579	0.0003	0	0
11	200	pasha	0.0102847	2.02079E-05	0.0585	0.00253969	0	0
11	200	docks	0.0102641	1.93633E-05	0.0581	0.0003	0	0
11	15	random	0.334432	0.0140839	0.0521	0.0035623	0	0
11	15	decycling	0.336247	0.0159892	0.1601	0.00947048	0	0
11	15	double	0.308202	0.00150871	0.1778	0.0107685	0	0
11	15	decycling_set	0.332623	0.0112872	0.0808	0.0106752	0	0
7	100	random	0.0211397	0.000544976	0.0322	0.0004	0	0
7	100	decycling	0.0205498	7.92737E-05	0.1195	0.0010247	0	0
7	100	double	0.0205909	0.000102771	0.1246	0.00149666	0	0
7	100	decycling_set	0.0206223	0.000170977	0.0462	0.0004	0	0
7	100	pasha	0.0206091	0.00011789	0.0464	0.000663325	0	0
7	100	docks	0.0206454	0.000191364	0.0478	0.00193907	0	0
8	100	random	0.0212958	0.000432556	0.0322	0.0004	0	0
8	100	decycling	0.020732	9.82731E-05	0.1264	0.000489898	0	0
8	100	double	0.0207011	0.00013365	0.134	0.000447214	0	0
8	100	decycling_set	0.0206634	7.27017E-05	0.045	6.93889E-18	0	0
8	100	pasha	0.0207683	0.000126651	0.0452	0.0004	0	0
8	100	docks	0.0207216	5.38702E-05	0.048	0.00109545	0	0
9	100	random	0.0216561	0.000720029	0.0323	0.000458258	0	0
9	100	decycling	0.0207665	7.50676E-05	0.1281	0.0003	0	0
9	100	double	0.0207562	7.54778E-05	0.1413	0.000640312	0	0
9	100	decycling_set	0.0207565	8.96926E-05	0.0473	0.00141774	0	0
9	100	pasha	0.0208915	7.51406E-05	0.045	6.93889E-18	0	0
9	100	docks	0.0208679	9.43922E-05	0.045	6.93889E-18	0	0
10	100	random	0.0217626	0.00054109	0.0323	0.000458258	0	0
10	100	decycling	0.0208634	4.21344E-05	0.1359	0.000538516	0	0
10	100	double	0.0208871	4.30108E-05	0.1524	0.000663325	0	0
10	100	decycling_set	0.0208857	6.78041E-05	0.0453	0.0009	0	0
10	100	pasha	0.0210504	0.000088621	0.0465	0.000806226	0	0
10	100	docks	0.0210581	0.000126578	0.0457	0.000640312	0	0
11	100	random	0.0217176	0.000230211	0.0321	0.0003	0	0
11	100	decycling	0.0209982	7.27331E-05	0.1391	0.0003	0	0
11	100	double	0.0210133	6.79424E-05	0.1634	0.00128062	0	0
11	100	decycling_set	0.0209891	3.14937E-05	0.0584	0.000916515	0	0
11	100	pasha	0.0213253	0.000168004	0.0591	0.0003	0	0
11	100	docks	0.0211281	8.69403E-05	0.0577	0.000458258	0	0
12	100	random	0.0221849	0.000602951	0.0323	0.000458258	0	0
12	100	decycling	0.0211297	4.84315E-05	0.1471	0.0003	0	0
12	100	double	0.0211417	4.07342E-05	0.1751	0.000538516	0	0
12	100	decycling_set	0.0210663	0.000024415	0.0656	0.00128062	0	0
12	100	pasha	0.0214007	9.75584E-05	0.0662	0.0004	0	0
13	100	random	0.0227086	0.00119101	0.0324	0.000663325	0	0
13	100	decycling	0.0212545	3.78108E-05	0.1512	0.0004	0	0
13	100	double	0.0212585	4.78387E-05	0.1853	0.000458258	0	0
13	100	decycling_set	0.0212626	4.46466E-05	0.0707	0.00100499	0	0
13	100	pasha	0.0216584	0.000198831	0.0711	0.00175784	0	0
14	100	random	0.0226309	0.000371852	0.0322	0.0004	0	0
14	100	decycling	0.0214111	0.000034258	0.1584	0.000663325	0	0
14	100	double	0.0213995	0.000033901	0.1962	0.0004	0	0
14	100	decycling_set	0.0225341	0.000107325	0.0732	0.00177764	0	0
15	100	random	0.0230466	0.000563386	0.0325	0.0005	0	0
15	100	decycling	0.0215142	3.25343E-05	0.1653	0.00118743	0	0
15	100	double	0.021512	4.02429E-05	0.2082	0.0004	0	0
15	100	decycling_set	0.0232501	0.000901024	0.1607	0.00424382	0	0
5	100	random	0.0206123	0.000515993	0.0327	0.000458258	0	0
5	100	decycling	0.0206713	0.000299238	0.1146	0.00128062	0	0
5	100	double	0.020683	0.000358578	0.115	0.00118322	0	0
5	100	decycling_set	0.0206021	0.000274893	0.0516	0.000663325	0	0
6	100	random	0.0210205	0.00105262	0.0325	0.000921954	0	0
6	100	decycling	0.0206778	0.00032964	0.1302	0.0004	0	0
6	100	double	0.0208239	0.000304413	0.1299	0.00197231	0	0
6	100	decycling_set	0.0207292	0.000281219	0.0482	0.0004	0	0
100	110	random	0.164662	0.00590999	0.3452	0.0064	0	0
100	110	decycling	0.170517	0.00500831	10.7266	0.0305948	0	0
100	110	double	0.167629	0.00653688	14.0975	0.066969	0	0
100	120	random	0.0909043	0.00348832	0.3317	0.00433705	0	0
100	120	decycling	0.0919591	0.00365954	10.7857	0.120413	0	0
100	120	double	0.0905253	0.00205336	14.0753	0.0435685	0	0
100	130	random	0.0629658	0.00339643	0.3255	0.00280179	0	0
100	130	decycling	0.0613844	0.000616419	10.6915	0.0130403	0	0
100	130	double	0.0613234	0.00103282	14.0346	0.0048	0	0
100	140	random	0.0470517	0.00125034	0.3233	0.00395095	0	0
100	140	decycling	0.0472877	0.00164856	10.698	0.0159437	0	0
100	140	double	0.0448978	0.00055559	14.0277	0.00579741	0	0
100	150	random	0.0389489	0.00174553	0.3179	0.00246779	0	0
100	150	decycling	0.0376136	0.000910997	10.6684	0.0147729	0	0
100	150	double	0.0338668	0.000174148	14.0402	0.0489118	0	0
100	160	random	0.0317673	0.000510862	0.3161	0.00308058	0	0
100	160	decycling	0.0316393	0.0011694	10.6954	0.00990152	0	0
100	160	double	0.026979	6.76288E-05	14.0387	0.0428253	0	0
100	170	random	0.0278338	0.000950764	0.3136	0.00241661	0	0
100	170	decycling	0.026972	0.00142722	10.6734	0.0123142	0	0
100	170	double	0.0228412	0.000129635	14.0171	0.00978213	0	0
100	180	random	0.0241691	0.00034069	0.3112	0.00146969	0	0
100	180	decycling	0.0229646	0.000980914	10.7335	0.199244	0	0
100	180	double	0.0196836	6.52318E-05	14.0439	0.0303561	0	0
100	190	random	0.0217902	0.000530545	0.3099	0.00207123	0	0
100	190	decycling	0.0195742	0.000399207	10.6844	0.0307122	0	0
100	190	double	0.0171387	9.06853E-06	14.0149	0.00562939	0	0
100	200	random	0.0196855	0.000560795	0.3115	0.00520096	0	0
100	200	decycling	0.0169219	0.000203443	10.6754	0.00932952	0	0
100	200	double	0.0152332	2.47921E-05	14.09	0.182992	0	0
100	210	random	0.0179956	0.000598758	0.309	0.00268328	0	0
100	210	decycling	0.0150933	0.000186088	10.6769	0.0241555	0	0
100	210	double	0.0137997	6.39288E-06	14.0394	0.0284612	0	0
100	220	random	0.0162101	6.19101E-05	0.3062	0.0024	0	0
100	220	decycling	0.0135899	4.39127E-05	10.6795	0.0804254	0	0
100	220	double	0.0126968	4.81742E-06	14.0273	0.00275862	0	0
100	230	random	0.0151276	0.000255694	0.3047	0.00249199	0	0
100	230	decycling	0.0124095	0.000090752	10.7511	0.154006	0	0
100	230	double	0.0117773	3.14654E-06	14.0766	0.0380189	0	0
100	240	random	0.014255	0.000416587	0.3083	0.00293428	0	0
100	240	decycling	0.0114526	5.46258E-05	10.6467	0.00681249	0	0
100	240	double	0.011021	7.40325E-06	14.0116	0.00498397	0	0
100	250	random	0.0130782	0.000134686	0.3057	0.0020025	0	0
100	250	decycling	0.0106528	1.38257E-05	10.6539	0.0236366	0	0
100	250	double	0.0103907	0.000008727	14.0181	0.0158899	0	0
100	260	random	0.0124786	0.00036172	0.3054	0.00233238	0	0
100	260	decycling	0.0100265	1.50873E-05	10.6608	0.00318748	0	0
100	260	double	0.00984091	1.08525E-05	14.0979	0.211724	0	0
100	270	random	0.0116075	0.000101089	0.3046	0.00233238	0	0
100	270	decycling	0.00949395	1.51882E-05	10.6607	0.00322645	0	0
100	270	double	0.00936952	1.33789E-05	14.0181	0.0285182	0	0
100	280	random	0.0112093	0.000338492	0.3042	0.00244131	0	0
100	280	decycling	0.00901648	8.79206E-06	10.7833	0.22838	0	0
100	280	double	0.00894513	0.000010907	14.011	0.00666333	0	0
100	290	random	0.0104406	0.000112035	0.3034	0.00287054	0	0
100	290	decycling	0.00860766	1.56746E-05	10.7777	0.219294	0	0
100	290	double	0.00855518	1.26142E-05	14.0154	0.00224499	0	0
100	300	random	0.0101	0.000472023	0.3018	0.00373631	0	0
100	300	decycling	0.00824017	1.12043E-05	10.7634	0.231223	0	0
100	300	double	0.00821106	0.000004316	14.0115	0.00506458	0	0
100	310	random	0.00943159	9.26137E-05	0.3037	0.00366197	0	0
100	310	decycling	0.00790295	9.64039E-06	10.7024	0.023329	0	0
100	310	double	0.00788566	9.06026E-06	14.0573	0.073946	0	0
100	320	random	0.00907913	0.000166903	0.2998	0.0026	0	0
100	320	decycling	0.00759853	8.32806E-06	10.8635	0.218245	0	0
100	320	double	0.00759015	1.44737E-05	14.0343	0.0191262	0	0
100	330	random	0.00868187	0.00018509	0.3022	0.00386782	0	0
100	330	decycling	0.00732374	8.65935E-06	10.8309	0.21963	0	0
100	330	double	0.00730803	9.7993E-06	14.1644	0.40022	0	0
100	340	random	0.00830222	9.74685E-05	0.299	0.00154919	0	0
100	340	decycling	0.00705744	7.58226E-06	10.7289	0.223313	0	0
100	340	double	0.00705006	4.28029E-06	14.0232	0.00278568	0	0
100	350	random	0.00798681	7.49921E-05	0.3004	0.00346987	0	0
100	350	decycling	0.00682193	1.37758E-05	10.6995	0.113182	0	0
100	350	double	0.00681312	5.34334E-06	14.0429	0.0406139	0	0
100	360	random	0.00773791	0.000210985	0.3021	0.00498899	0	0
