k	L	method	density	density_std				
100	420	decycling	0.00550788	2.32397E-05	21.9566	0.464095	0	0
100	420	double	0.00550233	1.20801E-05	28.6487	0.0301631	0	0
100	430	random	0.00616348	0.000102608	0.6125	0.00447772	0	0
100	430	decycling	0.0053437	1.13592E-05	21.9452	0.36851	0	0
100	430	double	0.00536417	4.08957E-05	28.879	0.6414	0	0
100	440	random	0.00604778	0.000148255	0.6153	0.0132064	0	0
100	440	decycling	0.00519134	3.53048E-05	21.786	0.0906587	0	0
100	440	double	0.00520602	7.37707E-06	28.646	0.00289828	0	0
100	450	random	0.00588199	0.000152745	0.6224	0.0145134	0	0
100	450	decycling	0.00506181	5.26039E-05	21.7702	0.0926151	0	0
100	450	double	0.00505456	5.51212E-05	28.8585	0.469862	0	0
100	460	random	0.00570038	0.000141697	0.6208	0.0151116	0	0
100	460	decycling	0.004949	7.09024E-06	21.8458	0.0462813	0	0
100	460	double	0.00492437	7.37256E-05	28.6043	0.0131076	0	0
100	470	random	0.00544064	0.000126025	0.6122	0.00831625	0	0
100	470	decycling	0.00483633	9.68553E-06	21.8441	0.049704	0	0
100	470	double	0.00484115	1.30732E-05	28.6389	0.0148017	0	0
100	480	random	0.00539902	0.000115344	0.6193	0.0142902	0	0
100	480	decycling	0.00469977	5.10853E-05	21.9639	0.300539	0	0
100	480	double	0.00472316	9.14574E-06	28.8078	0.460039	0	0
100	490	random	0.00524552	0.000278713	0.619	0.0116619	0	0
100	490	decycling	0.00460804	2.07528E-05	21.7869	0.0958368	0	0
100	490	double	0.00461464	6.46171E-06	28.6028	0.0175488	0	0
100	500	random	0.00506247	6.31422E-05	0.6143	0.0149067	0	0
100	500	decycling	0.0045131	1.24054E-05	22.0228	0.477316	0	0
100	500	double	0.0045174	0.000011795	28.7939	0.472707	0	0
50	60	random	0.168549	0.00774529	0.092	0.00458258	0	0
50	60	decycling	0.169043	0.00674295	0.9847	0.00632535	0	0
50	60	double	0.166255	0.00509084	1.2675	0.00460977	0	0
