0 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
50 0.04119 0.041702 0.042173 0.042585 0.043147 0.04379 0.044351 0.044926 0.045526 0.046139 0.046798 0.047422 0.048166 0.049005 0.050046 0.051332
60 0.034075 0.034549 0.034844 0.03522 0.035561 0.035868 0.036235 0.03667 0.037054 0.037453 0.037911 0.038356 0.038774 0.03919 0.039622 0.040162
70 0.029376 0.029373 0.029701 0.029868 0.030119 0.030468 0.030705 0.030988 0.031267 0.031564 0.031826 0.032149 0.032493 0.03278 0.033057 0.033434
80 0.025518 0.025621 0.025878 0.026011 0.026244 0.026498 0.026566 0.026881 0.027007 0.027293 0.027497 0.027651 0.027909 0.028117 0.028406 0.028619
90 0.022513 0.02284 0.022913 0.023032 0.023109 0.023358 0.023476 0.023613 0.023776 0.023979 0.02414 0.024346 0.024521 0.024668 0.024854 0.025005
100 0.020487 0.020405 0.020526 0.020646 0.020789 0.020889 0.021026 0.021106 0.02127 0.021423 0.021574 0.021719 0.02178 0.021969 0.022145 0.022267
110 0.01853 0.01852 0.018641 0.018756 0.018786 0.018895 0.019045 0.019154 0.019221 0.019358 0.019456 0.019538 0.01967 0.019745 0.019889 0.020025
120 0.016873 0.017012 0.017017 0.01705 0.017223 0.017295 0.017392 0.017512 0.017539 0.017638 0.017748 0.017792 0.017897 0.01804 0.018142 0.018215
130 0.015599 0.015603 0.015668 0.015763 0.015847 0.015886 0.016002 0.016101 0.016153 0.016151 0.016262 0.016378 0.01645 0.016481 0.016566 0.016676
140 0.014517 0.014451 0.014592 0.014684 0.014689 0.014726 0.014829 0.014861 0.014933 0.015 0.015072 0.015137 0.015183 0.015255 0.015356 0.015388
150 0.013477 0.013521 0.013584 0.013664 0.013687 0.013734 0.013746 0.013809 0.013914 0.013907 0.013986 0.014115 0.014094 0.014176 0.014221 0.014298
160 0.012643 0.012712 0.012658 0.012756 0.012792 0.012816 0.012904 0.012967 0.013033 0.01303 0.013071 0.013137 0.01318 0.013211 0.013309 0.013366
170 0.011981 0.011939 0.011927 0.011917 0.01202 0.01202 0.012099 0.012155 0.012211 0.012236 0.012281 0.01232 0.012409 0.012414 0.01247 0.012515
180 0.011312 0.011216 0.011282 0.011261 0.011341 0.011386 0.011433 0.011482 0.011532 0.011533 0.011547 0.011631 0.011645 0.011703 0.011705 0.011768
190 0.010665 0.010723 0.010621 0.010715 0.010751 0.01077 0.010841 0.010823 0.010852 0.01092 0.010899 0.010991 0.011001 0.011058 0.011092 0.01113
200 0.01011 0.01017 0.010133 0.010152 0.010162 0.010222 0.010249 0.010271 0.010286 0.010325 0.010346 0.010414 0.010422 0.010464 0.010487 0.010541
