0.000000000000000000e+00 1.000000000000000000e+02
1.500000000000000000e+02 3.821299999999999697e-02
1.600000000000000000e+02 3.162299999999999833e-02
1.700000000000000000e+02 2.661399999999999877e-02
1.800000000000000000e+02 2.257199999999999832e-02
1.900000000000000000e+02 1.936600000000000127e-02
2.000000000000000000e+02 1.697900000000000104e-02
2.100000000000000000e+02 1.514800000000000001e-02
2.200000000000000000e+02 1.370900000000000070e-02
2.300000000000000000e+02 1.245399999999999979e-02
2.400000000000000000e+02 1.147800000000000036e-02
2.500000000000000000e+02 1.067500000000000046e-02
