0 6 7 8 9 10 11
20 0.000260300360278 8.74E-05 7.85E-05 8.19E-05 0.000118439910938 9.65E-05
30 0.000125735906148 7.87E-05 9.76E-05 0.000143132413481 6.76E-05 8.27E-05
40 6.54E-05 0.000190516234363 7.38E-05 6.05E-05 5.33E-05 8.98E-05
50 3.99E-05 0.000109532387757 6.1E-05 8.11E-05 8.59E-05 9.87E-05
60 0.000122673185688 3.85E-05 8.86E-05 5.48E-05 3.08E-05 5.52E-05
70 5.94E-05 3.46E-05 4.71E-05 6.63E-05 6.59E-05 7.49E-05
80 6.93E-05 7.13E-05 6.94E-05 7.76E-05 4.95E-05 9.45E-05
90 5.49E-05 5.78E-05 7.12E-05 0.000124527941099 3.84E-05 2.44E-05
100 2.36E-05 7.15E-05 6.35E-05 6.15E-05 5.34E-05 6.66E-05
110 0.000102249227619 5.09E-05 6.89E-05 4.1E-05 5.39E-05 3.75E-05
120 3.76E-05 4.56E-05 2.93E-05 6.55E-05 5.19E-05 3.18E-05
130 7.19E-05 4.13E-05 4.37E-05 5.81E-05 5.08E-05 3.3E-05
140 5.35E-05 0.000102404911214 3.99E-05 2.98E-05 3.67E-05 4.87E-05
150 4.9E-05 4.19E-05 7.65E-05 5.74E-05 4.37E-05 5.53E-05
160 5.79E-05 4.75E-05 4.13E-05 4.43E-05 4.96E-05 2.33E-05
170 9.07E-05 5.58E-05 3.52E-05 4.18E-05 5.34E-05 2.41E-05
180 4.6E-05 5.51E-05 4.8E-05 2.66E-05 5.93E-05 2.74E-05
190 5.41E-05 4.43E-05 3.47E-05 3.98E-05 5.6E-05 4.02E-05
200 3.6E-05 4.93E-05 3.72E-05 5.27E-05 4E-05 3.18E-05
