0 6 7 8 9 10 11 12 13 14 15 16 17 18
20 0.111545 0.114821 0.119994 0.128489 0.142421 0.16107 0.187818 0.217096 0.247925 0.284978 0.332835793495178 0.399579 0.499894
30 0.071601 0.072955 0.074501 0.076124 0.077836 0.079964 0.08297 0.087097 0.093222 0.100902 0.110094651579857 0.12205 0.135841
40 0.052731 0.053458 0.054349 0.055056 0.055989 0.056894 0.057931 0.058959 0.060097 0.06151 0.063429152965546 0.065902 0.069212
50 0.041821 0.042178 0.042697 0.04318 0.043798 0.044365 0.04489 0.045511 0.046153 0.046762 0.047421111166477 0.048137 0.049014
60 0.034497 0.034825 0.035278 0.03549 0.035918 0.03625 0.036647 0.037065 0.037442 0.037922 0.038299375772476 0.038729 0.039203
70 0.029462 0.029638 0.029883 0.030149 0.030477 0.030728 0.031026 0.031218 0.031543 0.031868 0.032141682505608 0.032489 0.032743
80 0.025674 0.025833 0.026063 0.026212 0.026399 0.026593 0.026781 0.02701 0.027283 0.02746 0.027709415555 0.027926 0.028114
90 0.022773 0.022827 0.023013 0.023142 0.023337 0.023456 0.023671 0.023799 0.023957 0.024159 0.024316564574838 0.024458 0.02463
100 0.02045 0.020518 0.020598 0.020782 0.020914 0.021062 0.021126 0.02129 0.021406 0.02154 0.02169892527163 0.021794 0.02193
110 0.018509 0.018638 0.018705 0.01882 0.018916 0.018964 0.019161 0.019235 0.01935 0.019454 0.019532 0.019685 0.019761
120 0.016979 0.017021 0.017079 0.01718 0.017281 0.017396 0.01745 0.01754 0.017662 0.017715 0.017855 0.017906 0.018027
130 0.015674 0.015713 0.015716 0.015865 0.015884 0.016005 0.016066 0.016148 0.016181 0.016318 0.016374 0.016519 0.016554
140 0.014583 0.014558 0.014555 0.014691 0.014699 0.014816 0.014865 0.014883 0.015013 0.015069 0.015146 0.015209 0.015214
150 0.013519 0.013581 0.013634 0.013681 0.013687 0.013772 0.013857 0.013896 0.013949 0.014018 0.014068 0.014072 0.014126
160 0.012632 0.012729 0.012724 0.012791 0.012871 0.012907 0.012959 0.013 0.012987 0.013075 0.013168 0.013218 0.013228
170 0.01193 0.011958 0.011942 0.012012 0.012053 0.012125 0.012117 0.012205 0.01223 0.012313 0.012326 0.012394 0.012394
180 0.011237 0.011257 0.011304 0.011327 0.011383 0.011468 0.011429 0.011494 0.011512 0.011561 0.011613 0.011645 0.011707
190 0.01068 0.010662 0.010715 0.010722 0.010748 0.010769 0.010812 0.010894 0.010893 0.010945 0.010992 0.011038 0.011108
200 0.010064 0.010143 0.010128 0.010195 0.01021 0.010288 0.01028 0.010276 0.010364 0.010376 0.010369 0.01044 0.010464
