0.000000000000000000e+00 7.000000000000000000e+00 8.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+01 1.100000000000000000e+01
2.000000000000000000e+01 1.145280000000000048e-01 1.194240000000000024e-01 1.266990000000000061e-01 1.438669999999999949e-01 1.568720000000000114e-01
3.000000000000000000e+01 7.288600000000000634e-02 7.450199999999999878e-02 7.614400000000000335e-02 7.782000000000000028e-02 7.969900000000000595e-02
4.000000000000000000e+01 5.336199999999999971e-02 5.429799999999999904e-02 5.505999999999999783e-02 5.596500000000000086e-02 5.692799999999999944e-02
5.000000000000000000e+01 4.216899999999999815e-02 4.268600000000000172e-02 4.322499999999999953e-02 4.378399999999999653e-02 4.430400000000000310e-02
6.000000000000000000e+01 3.475199999999999817e-02 3.511600000000000138e-02 3.559099999999999764e-02 3.588299999999999823e-02 3.627099999999999769e-02
7.000000000000000000e+01 2.964100000000000068e-02 2.993200000000000027e-02 3.013800000000000159e-02 3.046499999999999903e-02 3.067500000000000088e-02
8.000000000000000000e+01 2.586799999999999863e-02 2.606299999999999936e-02 2.621199999999999919e-02 2.645099999999999882e-02 2.661399999999999877e-02
9.000000000000000000e+01 2.289800000000000169e-02 2.303200000000000039e-02 2.317999999999999922e-02 2.333000000000000004e-02 2.351200000000000165e-02
1.000000000000000000e+02 2.049700000000000133e-02 2.063699999999999909e-02 2.079200000000000145e-02 2.091600000000000056e-02 2.103199999999999861e-02
