0.000000000000000000e+00 7.000000000000000000e+00 8.000000000000000000e+00 9.000000000000000000e+00 1.000000000000000000e+01 1.100000000000000000e+01
2.000000000000000000e+01 1.189629999999999993e-01 1.238139999999999935e-01 1.300199999999999967e-01 1.416840000000000044e-01 1.547739999999999949e-01
3.000000000000000000e+01 7.551399999999999779e-02 7.706699999999999662e-02 7.883800000000000530e-02 8.057999999999999885e-02 8.288399999999999934e-02
4.000000000000000000e+01 5.529599999999999793e-02 5.581499999999999656e-02 5.688599999999999907e-02 5.775299999999999878e-02 5.882500000000000229e-02
5.000000000000000000e+01 4.344699999999999951e-02 4.389799999999999952e-02 4.443699999999999734e-02 4.482799999999999979e-02 4.545799999999999841e-02
6.000000000000000000e+01 3.581999999999999768e-02 3.605099999999999971e-02 3.633399999999999824e-02 3.673599999999999782e-02 3.697600000000000192e-02
7.000000000000000000e+01 3.050100000000000033e-02 3.080400000000000152e-02 3.080700000000000105e-02 3.103699999999999862e-02 3.122600000000000028e-02
8.000000000000000000e+01 2.649999999999999925e-02 2.669099999999999945e-02 2.673400000000000082e-02 2.698800000000000157e-02 2.706400000000000125e-02
9.000000000000000000e+01 2.345900000000000069e-02 2.355399999999999855e-02 2.365799999999999847e-02 2.373199999999999962e-02 2.379799999999999971e-02
1.000000000000000000e+02 2.112599999999999895e-02 2.119599999999999956e-02 2.107600000000000098e-02 2.131399999999999961e-02 2.132399999999999921e-02
