0.000000000000000000e+00 5.000000000000000000e+01
8.000000000000000000e+01 6.245499999999999663e-02
9.000000000000000000e+01 4.761900000000000160e-02
1.000000000000000000e+02 3.842199999999999782e-02
1.100000000000000000e+02 3.227100000000000107e-02
1.200000000000000000e+02 2.779699999999999879e-02
1.300000000000000000e+02 2.441099999999999867e-02
1.400000000000000000e+02 2.176799999999999916e-02
1.500000000000000000e+02 1.962600000000000108e-02
1.600000000000000000e+02 1.779199999999999879e-02
1.700000000000000000e+02 1.636999999999999914e-02
1.800000000000000000e+02 1.514000000000000068e-02
1.900000000000000000e+02 1.406100000000000058e-02
2.000000000000000000e+02 1.319099999999999960e-02
