0 7 8 9 10 11 12 13 14 15 16 17
20 0.114878 0.12025 0.128003 0.140687 0.157855 0.1669 0.189766 0.222317 0.269729 0.33308 0.399643
30 0.072868 0.074491 0.07606 0.078021 0.080114 0.081686 0.084416 0.088285 0.093158 0.110215 0.122097
40 0.05332 0.054322 0.055068 0.056113 0.056952 0.057872 0.058926 0.0599 0.061019 0.063413 0.065932
50 0.042022 0.042616 0.043141 0.043695 0.044315 0.044924 0.045518 0.046073 0.046726 0.047412 0.048099
60 0.034677 0.035196 0.035478 0.035875 0.036259 0.036693 0.037023 0.037444 0.037885 0.038284 0.038701
70 0.029575 0.029875 0.030112 0.030428 0.030616 0.030982 0.031269 0.031563 0.031845 0.032133 0.032489
80 0.025794 0.025972 0.026171 0.026356 0.026541 0.026841 0.027049 0.027189 0.027489 0.027704 0.027881
90 0.022776 0.023035 0.023116 0.023286 0.023498 0.023622 0.023853 0.023986 0.024178 0.024353 0.024497
100 0.020483 0.020664 0.020708 0.020885 0.020958 0.021171 0.021279 0.021489 0.021575 0.021724 0.021838
