0 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
20 1.3687300E-01 1.4581100E-01 1.5619600E-01 1.6786600E-01 1.8166200E-01 1.9800100E-01 2.1772700E-01 2.4165500E-01 2.7150000E-01 3.1036900E-01 3.6110600E-01 4.3354300E-01 5.3638300E-01 7.0843400E-01 1.0000000E+00
30 8.5370000E-02 8.8698000E-02 9.2336000E-02 9.6254000E-02 1.0047100E-01 1.0503100E-01 1.1010200E-01 1.1570900E-01 1.2219000E-01 1.2895300E-01 1.3701200E-01 1.4600200E-01 1.5604900E-01 1.6785300E-01 1.8152100E-01
40 6.2317000E-02 6.3976000E-02 6.5730000E-02 6.7774000E-02 6.9894000E-02 7.1952000E-02 7.4253000E-02 7.6810000E-02 7.9380000E-02 8.2403000E-02 8.5301000E-02 8.8825000E-02 9.2264000E-02 9.6231000E-02 1.0040600E-01
50 4.8975000E-02 5.0072000E-02 5.1200000E-02 5.2353000E-02 5.3563000E-02 5.4741000E-02 5.6073000E-02 5.7603000E-02 5.9041000E-02 6.0652000E-02 6.2278000E-02 6.3873000E-02 6.5762000E-02 6.7737000E-02 6.9783000E-02
60 4.0301000E-02 4.1072000E-02 4.1828000E-02 4.2644000E-02 4.3360000E-02 4.4226000E-02 4.5102000E-02 4.5969000E-02 4.6974000E-02 4.7934000E-02 4.8941000E-02 5.0021000E-02 5.1148000E-02 5.2280000E-02 5.3627000E-02
70 3.4357000E-02 3.4850000E-02 3.5404000E-02 3.5949000E-02 3.6472000E-02 3.7114000E-02 3.7764000E-02 3.8335000E-02 3.8921000E-02 3.9710000E-02 4.0339000E-02 4.1173000E-02 4.1885000E-02 4.2654000E-02 4.3417000E-02
80 2.9973000E-02 3.0287000E-02 3.0734000E-02 3.1115000E-02 3.1538000E-02 3.2072000E-02 3.2469000E-02 3.2814000E-02 3.3357000E-02 3.3984000E-02 3.4428000E-02 3.4925000E-02 3.5390000E-02 3.5952000E-02 3.6639000E-02
90 2.6541000E-02 2.6817000E-02 2.7038000E-02 2.7447000E-02 2.7738000E-02 2.8114000E-02 2.8454000E-02 2.8733000E-02 2.9178000E-02 2.9521000E-02 2.9844000E-02 3.0286000E-02 3.0684000E-02 3.1078000E-02 3.1516000E-02
100 2.3787000E-02 2.4070000E-02 2.4255000E-02 2.4480000E-02 2.4806000E-02 2.5029000E-02 2.5359000E-02 2.5638000E-02 2.5854000E-02 2.6193000E-02 2.6560000E-02 2.6824000E-02 2.7055000E-02 2.7517000E-02 2.7801000E-02
