0 5 6 7 8 9 10 11 12 13 14 15
20 0.108969 0.112252 0.114677 0.118947 0.124635 0.133688 0.147047 0.166884 0.189642 0.222254 0.269649
30 0.071056 0.072242 0.073003 0.074606 0.076059 0.077847 0.079564 0.081678 0.084382 0.08825 0.093112
40 0.052953 0.053391 0.053556 0.054358 0.055117 0.055979 0.056913 0.057883 0.058865 0.059873 0.061009
50 0.042028 0.042245 0.042243 0.042762 0.043186 0.043737 0.044386 0.044865 0.045535 0.046147 0.046706
60 0.035069 0.035095 0.034866 0.035297 0.035516 0.035913 0.036238 0.036678 0.03709 0.037515 0.037832
70 0.030167 0.029951 0.029711 0.030005 0.030154 0.030487 0.030719 0.030905 0.031341 0.031564 0.031893
80 0.026361 0.026059 0.02594 0.026095 0.026201 0.026464 0.02663 0.026859 0.027009 0.027262 0.027447
90 0.0236 0.023132 0.022961 0.023118 0.023173 0.023316 0.023466 0.023725 0.023827 0.02394 0.024221
100 0.021222 0.02071 0.020635 0.020694 0.020758 0.020939 0.021025 0.021162 0.021302 0.021432 0.021602
110 0.019261 0.018835 0.018671 0.018761 0.018804 0.018891 0.019023 0.019142 0.019261 0.019339 0.019487
120 0.017725 0.017279 0.017097 0.017141 0.01717 0.017316 0.017321 0.017469 0.017578 0.017639 0.017761
130 0.016399 0.0159 0.015755 0.015871 0.015813 0.015912 0.015959 0.016094 0.016108 0.016212 0.016273
140 0.015308 0.014719 0.014675 0.014686 0.014665 0.014734 0.014831 0.014909 0.014935 0.014996 0.015046
150 0.014318 0.013696 0.013634 0.013641 0.013669 0.013738 0.013773 0.01389 0.013877 0.013923 0.013961
160 0.013612 0.012903 0.0128 0.012822 0.012762 0.012855 0.012884 0.012942 0.013007 0.013019 0.01307
170 0.012692 0.012125 0.012012 0.012058 0.012045 0.012089 0.012102 0.012135 0.012216 0.012285 0.012248
180 0.012063 0.011457 0.011367 0.011361 0.011361 0.011419 0.011438 0.01146 0.011532 0.011538 0.011533
190 0.011401 0.010886 0.010756 0.01071 0.010752 0.010792 0.010782 0.010824 0.010835 0.010953 0.010951
200 0.01082 0.010285 0.010199 0.010179 0.010209 0.010218 0.010239 0.010272 0.010282 0.010344 0.010404
