0 7 8 9 10 11 12 13
20 0.121631 0.128943 0.137104 0.148034 0.160321 0 0.196825
30 0.074667 0.077191 0.079844 0.082734 0.08667 0.090253 0.090756
40 0.054071 0.055291 0.056607 0.057992 0.059805 0.061468 0.062198
50 0.042323 0.0431 0.043891 0.044657 0.045546 0.046725 0.046928
60 0.034868 0.035292 0.035937 0.036378 0.03697 0.037613 0.037886
70 0.02973 0.030024 0.03036 0.030705 0.0311 0.03161 0.031799
80 0.025976 0.026048 0.026303 0.026612 0.026848 0.027246 0.027458
90 0.022946 0.023054 0.023252 0.023445 0.023627 0.02392 0.024168
100 0.020529 0.020673 0.020821 0.020976 0.021092 0.021371 0.021536
