0 7 8 9 10 11 12 13
20 0.114597 0.119527 0.126641 0.138171 0.153253 0.280519 0.190312
30 0.072823 0.074499 0.076054 0.077782 0.079825 0.082429 0.086476
40 0.053466 0.054229 0.055155 0.055967 0.056918 0.057938 0.058981
50 0.042135 0.042739 0.043206 0.043732 0.044361 0.044891 0.04553
60 0.034808 0.035178 0.035529 0.035843 0.036318 0.036624 0.037087
70 0.029617 0.029934 0.030185 0.030435 0.030722 0.031017 0.031262
80 0.025801 0.025992 0.026219 0.026412 0.026638 0.026822 0.027027
90 0.022849 0.023002 0.023145 0.023294 0.023519 0.023679 0.023868
100 0.020493 0.020635 0.020749 0.020901 0.02103 0.021117 0.021265
