0 5 6 7 8 9 10 11 12 13 14 15
20 0.107531 0.111068 0.114766 0.120009 0.128528 0.142646 0.161185 0.187691 0.217032 0.24806 0.284871
30 0.069535 0.071477 0.072839 0.074477 0.076078 0.077835 0.080026 0.082878 0.087097 0.093102 0.100974
40 0.052878 0.052624 0.053387 0.05424 0.055118 0.055937 0.056952 0.057911 0.058943 0.060132 0.061569
50 0.04119 0.041702 0.042173 0.042585 0.043147 0.04379 0.044351 0.044926 0.045526 0.046139 0.046798
60 0.034075 0.034549 0.034844 0.03522 0.035561 0.035868 0.036235 0.03667 0.037054 0.037453 0.037911
70 0.029376 0.029373 0.029701 0.029868 0.030119 0.030468 0.030705 0.030988 0.031267 0.031564 0.031826
80 0.025518 0.025621 0.025878 0.026011 0.026244 0.026498 0.026566 0.026881 0.027007 0.027293 0.027497
90 0.022513 0.02284 0.022913 0.023032 0.023109 0.023358 0.023476 0.023613 0.023776 0.023979 0.02414
100 0.020487 0.020405 0.020526 0.020646 0.020789 0.020889 0.021026 0.021106 0.02127 0.021423 0.021574
110 0.01853 0.01852 0.018641 0.018756 0.018786 0.018895 0.019045 0.019154 0.019221 0.019358 0.019456
120 0.016873 0.017012 0.017017 0.01705 0.017223 0.017295 0.017392 0.017512 0.017539 0.017638 0.017748
130 0.015599 0.015603 0.015668 0.015763 0.015847 0.015886 0.016002 0.016101 0.016153 0.016151 0.016262
140 0.014517 0.014451 0.014592 0.014684 0.014689 0.014726 0.014829 0.014861 0.014933 0.015 0.015072
150 0.013477 0.013521 0.013584 0.013664 0.013687 0.013734 0.013746 0.013809 0.013914 0.013907 0.013986
160 0.012643 0.012712 0.012658 0.012756 0.012792 0.012816 0.012904 0.012967 0.013033 0.01303 0.013071
170 0.011981 0.011939 0.011927 0.011917 0.01202 0.01202 0.012099 0.012155 0.012211 0.012236 0.012281
180 0.011312 0.011216 0.011282 0.011261 0.011341 0.011386 0.011433 0.011482 0.011532 0.011533 0.011547
190 0.010665 0.010723 0.010621 0.010715 0.010751 0.01077 0.010841 0.010823 0.010852 0.01092 0.010899
200 0.01011 0.01017 0.010133 0.010152 0.010162 0.010222 0.010249 0.010271 0.010286 0.010325 0.010346
