0 5 6 7 8 9 10 11 12 13 14 15
20 0 0 0 0 0 0 6.52754065318285E-05 0 0 0 0
30 0 0 0 0 0 0 8.8078236639246E-05 0 0 0 0
40 0 0 0 0 0 0 0.000119427972909 0 0 0 0
50 0 0 0 0 0 0 0.000129101489118 0 0 0 0
60 0 0 0 0 0 0 0.000149784367299 0 0 0 0
70 0 0 0 0 0 0 9.19211531043161E-05 0 0 0 0
80 0 0 0 0 0 0 0.000119818713491 0 0 0 0
90 0 0 0 0 0 0 0.000129472192401 0 0 0 0
100 0.000595997159088 0.00066969355742 0.000109057617711 0.000151458025943 0.000114107914539 7.64162366593836E-05 8.64882010084301E-05 9.5947642728717E-05 7.12670809012141E-05 9.07298679780185E-05 4.79817663683362E-05
110 0 0 0 0 0 0 0.000119159418883 0 0 0 0
120 0 0 0 0 0 0 6.75689626005398E-05 0 0 0 0
130 0 0 0 0 0 0 8.35106426516961E-05 0 0 0 0
140 0 0 0 0 0 0 7.72479053733037E-05 0 0 0 0
150 0 0 0 0 0 0 7.18378754410934E-05 0 0 0 0
160 0 0 0 0 0 0 0.000121354512043 0 0 0 0
170 0 0 0 0 0 0 9.47210784800293E-05 0 0 0 0
180 0 0 0 0 0 0 6.16463265061547E-05 0 0 0 0
190 0 0 0 0 0 0 6.38964324252378E-05 0 0 0 0
200 0 0 0 0 0 0 3.67645575566337E-05 0 0 0 0
