0 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
50 0.042028 0.042245 0.042243 0.042762 0.043186 0.043737 0.044386 0.044865 0.045535 0.046147 0.046706 0.047337 0.048001 0.048704 0.049497 0.050339
60 0.035069 0.035095 0.034866 0.035297 0.035516 0.035913 0.036238 0.036678 0.03709 0.037515 0.037832 0.038349 0.03873 0.03915 0.03965 0.040111
70 0.030167 0.029951 0.029711 0.030005 0.030154 0.030487 0.030719 0.030905 0.031341 0.031564 0.031893 0.032226 0.032436 0.032781 0.03311 0.033425
80 0.026361 0.026059 0.02594 0.026095 0.026201 0.026464 0.02663 0.026859 0.027009 0.027262 0.027447 0.027674 0.027966 0.028198 0.028393 0.028623
90 0.0236 0.023132 0.022961 0.023118 0.023173 0.023316 0.023466 0.023725 0.023827 0.02394 0.024221 0.024334 0.024521 0.024738 0.024884 0.025047
100 0.021222 0.02071 0.020635 0.020694 0.020758 0.020939 0.021025 0.021162 0.021302 0.021432 0.021602 0.021644 0.021815 0.021966 0.022102 0.022307
110 0.019261 0.018835 0.018671 0.018761 0.018804 0.018891 0.019023 0.019142 0.019261 0.019339 0.019487 0.019581 0.019639 0.019809 0.019935 0.020023
120 0.017725 0.017279 0.017097 0.017141 0.01717 0.017316 0.017321 0.017469 0.017578 0.017639 0.017761 0.017781 0.017863 0.018003 0.018116 0.018181
130 0.016399 0.0159 0.015755 0.015871 0.015813 0.015912 0.015959 0.016094 0.016108 0.016212 0.016273 0.016369 0.016419 0.016559 0.016651 0.016678
140 0.015308 0.014719 0.014675 0.014686 0.014665 0.014734 0.014831 0.014909 0.014935 0.014996 0.015046 0.01512 0.015162 0.015231 0.01534 0.015389
150 0.014318 0.013696 0.013634 0.013641 0.013669 0.013738 0.013773 0.01389 0.013877 0.013923 0.013961 0.014053 0.014128 0.014172 0.014248 0.014323
160 0.013612 0.012903 0.0128 0.012822 0.012762 0.012855 0.012884 0.012942 0.013007 0.013019 0.01307 0.01313 0.013198 0.013274 0.013278 0.013331
170 0.012692 0.012125 0.012012 0.012058 0.012045 0.012089 0.012102 0.012135 0.012216 0.012285 0.012248 0.012321 0.012352 0.012428 0.012492 0.012512
180 0.012063 0.011457 0.011367 0.011361 0.011361 0.011419 0.011438 0.01146 0.011532 0.011538 0.011533 0.011603 0.011661 0.011696 0.011735 0.011744
190 0.011401 0.010886 0.010756 0.01071 0.010752 0.010792 0.010782 0.010824 0.010835 0.010953 0.010951 0.010973 0.011009 0.011067 0.011091 0.011128
200 0.01082 0.010285 0.010199 0.010179 0.010209 0.010218 0.010239 0.010272 0.010282 0.010344 0.010404 0.010395 0.010442 0.010485 0.010501 0.010541
