0 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
50 0.041083 0.04159 0.042162 0.042609 0.043195 0.043717 0.044331 0.044877 0.045534 0.046141 0.046735 0.047358 0.048155 0.048993 0.050081 0.051371
60 0.034148 0.034441 0.03481 0.035126 0.035543 0.035939 0.036224 0.036652 0.036999 0.037435 0.037917 0.038304 0.038779 0.03923 0.039662 0.040137
70 0.029056 0.029318 0.029654 0.029905 0.030198 0.030435 0.030717 0.030996 0.031308 0.031579 0.031855 0.032142 0.032469 0.032802 0.033105 0.033439
80 0.025577 0.02566 0.025796 0.026042 0.026181 0.026411 0.026648 0.02685 0.027043 0.027256 0.027449 0.027689 0.027933 0.028145 0.028418 0.028647
90 0.022723 0.022722 0.022797 0.022948 0.023221 0.023353 0.023531 0.023677 0.023838 0.023955 0.024153 0.024334 0.024546 0.024682 0.024909 0.025093
100 0.020341 0.020389 0.020495 0.020693 0.02077 0.020871 0.021064 0.021144 0.021282 0.021437 0.021515 0.021741 0.021887 0.021976 0.022098 0.022293
110 0.018426 0.0185 0.01859 0.018714 0.018836 0.018922 0.019019 0.019141 0.019217 0.019346 0.019481 0.019566 0.019686 0.019765 0.019926 0.020037
120 0.01688 0.016958 0.017013 0.017123 0.017157 0.017204 0.017413 0.017448 0.017577 0.017635 0.017735 0.017847 0.017947 0.018027 0.018131 0.018212
130 0.015525 0.015643 0.01572 0.015759 0.01583 0.015943 0.016024 0.016087 0.016114 0.016216 0.016259 0.016399 0.016486 0.016531 0.016601 0.016635
140 0.014483 0.014514 0.014568 0.01462 0.014626 0.014727 0.014833 0.014861 0.014957 0.015009 0.015068 0.015134 0.015204 0.015238 0.01534 0.015396
150 0.013482 0.013522 0.013532 0.013579 0.013623 0.013686 0.013784 0.013878 0.013901 0.013949 0.014001 0.01406 0.014112 0.01422 0.014249 0.01429
160 0.012615 0.012637 0.012725 0.012725 0.01282 0.012825 0.012915 0.012966 0.013008 0.01308 0.013099 0.013144 0.013155 0.013216 0.013264 0.013355
170 0.011939 0.011914 0.011918 0.011988 0.012006 0.012068 0.012106 0.012194 0.012195 0.012189 0.012313 0.01233 0.012377 0.012426 0.012474 0.012502
180 0.011216 0.011203 0.01126 0.011303 0.011341 0.011379 0.011406 0.011419 0.011499 0.011543 0.011579 0.011609 0.011666 0.0117 0.011738 0.011781
190 0.01064 0.010659 0.010662 0.010642 0.010693 0.010721 0.010781 0.010838 0.01091 0.01091 0.010936 0.010965 0.011029 0.011064 0.011091 0.011093
200 0.010081 0.010138 0.010109 0.010147 0.01022 0.010216 0.010246 0.010274 0.010324 0.01034 0.010388 0.010397 0.010417 0.010471 0.010505 0.010518
