0 7 8 9 10 11 12 13
20 0 0 0 0 0.161274 0 0
30 0 0 0 0 0.079965 0 0
40 0 0 0 0 0.056931 0 0
50 0 0 0 0 0.044374 0 0
60 0 0 0 0 0.036249 0 0
70 0 0 0 0 0.030716 0 0
80 0 0 0 0 0.026621 0 0
90 0 0 0 0 0.023479 0 0
100 0.021143 0.021363 0.021062 0.021312 0.021035 0.021485 0.021751
110 0 0 0 0 0.019026 0 0
120 0 0 0 0 0.017356 0 0
130 0 0 0 0 0.015983 0 0
140 0 0 0 0 0.014834 0 0
150 0 0 0 0 0.013748 0 0
160 0 0 0 0 0.012861 0 0
170 0 0 0 0 0.012128 0 0
180 0 0 0 0 0.011452 0 0
190 0 0 0 0 0.010804 0 0
200 0 0 0 0 0.010231 0 0
