0 5 6 7 8 9 10 11 12 13 14 15
20 0 0 0 0 0 0 0.182907 0 0 0 0
30 0 0 0 0 0 0 0.095869 0 0 0 0
40 0 0 0 0 0 0 0.064897 0 0 0 0
50 0 0 0 0 0 0 0.049053 0 0 0 0
60 0 0 0 0 0 0 0.039334 0 0 0 0
70 0 0 0 0 0 0 0.032949 0 0 0 0
80 0 0 0 0 0 0 0.028345 0 0 0 0
90 0 0 0 0 0 0 0.024751 0 0 0 0
100 0.020866 0.020983 0.021241 0.021492 0.021613 0.021775 0.021992 0.022388 0.022481 0.022804 0.02301
110 0 0 0 0 0 0 0.019865 0 0 0 0
120 0 0 0 0 0 0 0.018064 0 0 0 0
130 0 0 0 0 0 0 0.016562 0 0 0 0
140 0 0 0 0 0 0 0.01529 0 0 0 0
150 0 0 0 0 0 0 0.014246 0 0 0 0
160 0 0 0 0 0 0 0.013259 0 0 0 0
170 0 0 0 0 0 0 0.012437 0 0 0 0
180 0 0 0 0 0 0 0.011846 0 0 0 0
190 0 0 0 0 0 0 0.011074 0 0 0 0
200 0 0 0 0 0 0 0.010537 0 0 0 0
