0 7 8 9 10 11 12 13
20 0 0 0 0 0.162287 0 0
30 0 0 0 0 0.088023 0 0
40 0 0 0 0 0.060804 0 0
50 0 0 0 0 0.046329 0 0
60 0 0 0 0 0.037688 0 0
70 0 0 0 0 0.031784 0 0
80 0 0 0 0 0.027245 0 0
90 0 0 0 0 0.024047 0 0
100 0.020848 0.021003 0.021087 0.021303 0.021394 0.021731 0.021944
110 0 0 0 0 0.019493 0 0
120 0 0 0 0 0.017676 0 0
130 0 0 0 0 0.016221 0 0
140 0 0 0 0 0.015037 0 0
150 0 0 0 0 0.013993 0 0
160 0 0 0 0 0.013118 0 0
170 0 0 0 0 0.012324 0 0
180 0 0 0 0 0.011733 0 0
190 0 0 0 0 0.011057 0 0
200 0 0 0 0 0.010342 0 0
